repositoryName1,repositoryName2,intersection,similarity
Bukkit/Bukkit,SpigotMC/Spigot-API,"[com.google.guava:guava, com.googlecode.json-simple:json-simple, commons-lang:commons-lang, junit:junit, org.avaje:ebean, org.hamcrest:hamcrest-library, org.yaml:snakeyaml]",1.0
f2prateek/progressbutton,mcxiaoke/android-volley,"[com.google.android:android, junit:junit, org.mockito:mockito-core, org.robolectric:robolectric]",0.8
liuyangming/ByteJTA,liuyangming/ByteTCC,"[aopalliance:aopalliance, cglib:cglib, com.alibaba:dubbo, com.fasterxml.jackson.core:jackson-annotations, com.fasterxml.jackson.core:jackson-core, com.fasterxml.jackson.core:jackson-databind, com.squareup.okhttp3:okhttp, commons-io:commons-io, io.netty:netty-buffer, io.netty:netty-codec, io.netty:netty-codec-http, io.netty:netty-common, io.netty:netty-handler, io.netty:netty-transport, io.netty:netty-transport-native-epoll, io.projectreactor:reactor-core, io.reactivex.rxjava2:rxjava, io.reactivex:rxjava-reactive-streams, javax.annotation:javax.annotation-api, javax.inject:javax.inject, javax.jms:javax.jms-api, javax.resource:javax.resource-api, javax.servlet:javax.servlet-api, javax.transaction:javax.transaction-api, org.apache.commons:commons-lang3, org.apache.curator:curator-client, org.apache.curator:curator-framework, org.apache.curator:curator-recipes, org.apache.zookeeper:zookeeper, org.aspectj:aspectjweaver, org.bytesoft:bytejta-core, org.bytesoft:bytejta-supports, org.bytesoft:bytejta-supports-dubbo, org.bytesoft:bytejta-supports-springcloud, org.mongodb:mongo-java-driver, org.ow2.asm:asm, org.reactivestreams:reactive-streams, org.slf4j:slf4j-api, org.springframework.boot:spring-boot, org.springframework.boot:spring-boot-autoconfigure, org.springframework.boot:spring-boot-starter-web, org.springframework.cloud:spring-cloud-commons, org.springframework.cloud:spring-cloud-config-client, org.springframework.cloud:spring-cloud-netflix-core, org.springframework.cloud:spring-cloud-netflix-eureka-client, org.springframework.cloud:spring-cloud-openfeign-core, org.springframework.cloud:spring-cloud-starter-netflix-eureka-server, org.springframework.cloud:spring-cloud-starter-netflix-hystrix, org.springframework.cloud:spring-cloud-starter-netflix-ribbon, org.springframework.cloud:spring-cloud-starter-openfeign, org.springframework.cloud:spring-cloud-zookeeper-core, org.springframework.retry:spring-retry, org.springframework:spring-aop, org.springframework:spring-context, org.springframework:spring-jdbc, org.springframework:spring-tx, org.springframework:spring-webmvc]",0.77
dddplus/dddplus,funkygao/cp-ddd-framework,"[com.google.caliper:caliper, com.tngtech.archunit:archunit, io.github.dddplus:dddplus-enforce, io.github.dddplus:dddplus-plugin, io.github.dddplus:dddplus-runtime, io.github.dddplus:dddplus-spec, io.github.dddplus:dddplus-unit, javax.validation:validation-api, junit:junit, org.apache.logging.log4j:log4j-core, org.apache.logging.log4j:log4j-slf4j-impl, org.aspectj:aspectjweaver, org.projectlombok:lombok, org.slf4j:slf4j-api, org.springframework:spring-context, org.springframework:spring-core, org.springframework:spring-test]",1.0
stefan-zobel/streamsupport,streamsupport/streamsupport,"[junit:junit, net.sourceforge.streamsupport:streamsupport, net.sourceforge.streamsupport:streamsupport-atomic, net.sourceforge.streamsupport:streamsupport-cfuture, net.sourceforge.streamsupport:streamsupport-flow, org.testng:testng]",0.86
FastFilter/fastfilter_java,thomasmueller/minperf,"[junit:junit, org.openjdk.jmh:jmh-core, org.openjdk.jmh:jmh-generator-annprocess]",0.75
geometer/FBReader-Android-2,geometer/FBReaderJ,"[com.google.android:android, com.google.android:support-v4]",1.0
jfree/jfreesvg,unitsofmeasurement/unit-api,"[org.junit.jupiter:junit-jupiter-api, org.junit.jupiter:junit-jupiter-engine]",1.0
SAP/SapMachine,openjdk/valhalla,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
amaembo/streamex,thomasmueller/minperf,"[junit:junit, org.openjdk.jmh:jmh-core, org.openjdk.jmh:jmh-generator-annprocess]",0.75
Plugily-Projects/BuildBattle,Plugily-Projects/MurderMystery,"[com.alessiodp.parties:parties-api, com.destroystokyo.paper:paper-api, com.github.stefvanschie.inventoryframework:IF, com.google.code.findbugs:jsr305, commons-io:commons-io, de.simonsator:Party-and-Friends-MySQL-Edition-Spigot-API, de.simonsator:Spigot-Party-API-For-RedisBungee, de.simonsator:partyandfriends, me.clip:placeholderapi, me.tigerhix.lib:scoreboard, org.bstats:bstats-bukkit, org.jetbrains:annotations, pl.plajer:commons-box-classic, pl.plajer:commons-box-database, pl.plajer:commons-box-minecraft]",0.83
AdoptOpenJDK/openjdk-jdk,openjdk/panama-foreign,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
apache/commons-codec,huaban/jieba-analysis,"[junit:junit, org.apache.commons:commons-lang3]",1.0
AgNO3/jcifs-ng,codelibs/jcifs,"[javax.annotation:javax.annotation-api, javax.servlet:javax.servlet-api, junit:junit, org.mockito:mockito-core, org.slf4j:slf4j-api, org.slf4j:slf4j-log4j12]",0.75
CamelCookbook/camel-cookbook-examples,vaquarkhan/vaquarkhan,"[com.atomikos:transactions, com.atomikos:transactions-api, com.atomikos:transactions-jdbc, com.atomikos:transactions-jms, com.google.code.spring-crypto-utils:spring-crypto-utils, com.h2database:h2, com.sun.xml.bind:jaxb-core, com.sun.xml.bind:jaxb-impl, commons-codec:commons-codec, commons-lang:commons-lang, commons-logging:commons-logging, junit:junit, net.sf.saxon:Saxon-HE, org.apache.activemq:activemq-camel, org.apache.aries.blueprint:org.apache.aries.blueprint.api, org.apache.aries.blueprint:org.apache.aries.blueprint.cm, org.apache.aries.blueprint:org.apache.aries.blueprint.core, org.apache.aries.proxy:org.apache.aries.proxy.api, org.apache.aries.proxy:org.apache.aries.proxy.impl, org.apache.aries:org.apache.aries.util, org.apache.camel:camel-bindy, org.apache.camel:camel-blueprint, org.apache.camel:camel-core, org.apache.camel:camel-crypto, org.apache.camel:camel-cxf, org.apache.camel:camel-jackson, org.apache.camel:camel-jasypt, org.apache.camel:camel-jaxb, org.apache.camel:camel-jdbc, org.apache.camel:camel-jms, org.apache.camel:camel-jmx, org.apache.camel:camel-saxon, org.apache.camel:camel-script, org.apache.camel:camel-spring, org.apache.camel:camel-spring-security, org.apache.camel:camel-sql, org.apache.camel:camel-test, org.apache.camel:camel-test-blueprint, org.apache.camel:camel-test-spring, org.apache.camel:camel-xmljson, org.apache.camel:camel-xmlsecurity, org.apache.camel:camel-xstream, org.apache.cxf:cxf-rt-transports-http-jetty, org.apache.geronimo.specs:geronimo-jta_1.1_spec, org.camelcookbook.examples:ws-payments-api, org.jvnet.jaxb2_commons:jaxb2-basics-runtime, org.slf4j:slf4j-api, org.springframework.security:spring-security-config, org.springframework.security:spring-security-core, org.springframework:spring-aop, org.springframework:spring-beans, org.springframework:spring-context, org.springframework:spring-context-support, org.springframework:spring-core, org.springframework:spring-jdbc, org.springframework:spring-jms, org.springframework:spring-test, org.springframework:spring-tx, org.springframework:spring-web, xalan:xalan, xml-apis:xml-apis, xom:xom]",0.7
apache/jclouds,jclouds/jclouds,"[ch.qos.logback:logback-classic, ch.qos.logback:logback-core, com.github.spotbugs:spotbugs-annotations, com.google.appengine:appengine-api-1.0-sdk, com.google.appengine:appengine-api-stubs, com.google.appengine:appengine-testing, com.google.auto.factory:auto-factory, com.google.auto.service:auto-service, com.google.auto.value:auto-value, com.google.code.findbugs:jsr305, com.google.code.gson:gson, com.google.guava:guava, com.google.inject.extensions:guice-assistedinject, com.google.inject:guice, com.hierynomus:sshj, com.jcraft:jsch, com.jcraft:jsch.agentproxy.connector-factory, com.jcraft:jsch.agentproxy.jsch, com.jcraft:jsch.agentproxy.sshj, io.netty:netty, javax.ws.rs:javax.ws.rs-api, joda-time:joda-time, log4j:log4j, org.apache.httpcomponents:httpclient, org.apache.jclouds.api:atmos, org.apache.jclouds.api:byon, org.apache.jclouds.api:chef, org.apache.jclouds.api:cloudstack, org.apache.jclouds.api:cloudwatch, org.apache.jclouds.api:docker, org.apache.jclouds.api:ec2, org.apache.jclouds.api:elasticstack, org.apache.jclouds.api:oauth, org.apache.jclouds.api:openstack-cinder, org.apache.jclouds.api:openstack-keystone, org.apache.jclouds.api:openstack-neutron, org.apache.jclouds.api:openstack-nova, org.apache.jclouds.api:openstack-nova-ec2, org.apache.jclouds.api:openstack-swift, org.apache.jclouds.api:openstack-trove, org.apache.jclouds.api:rackspace-clouddns, org.apache.jclouds.api:rackspace-cloudidentity, org.apache.jclouds.api:rackspace-cloudloadbalancers, org.apache.jclouds.api:route53, org.apache.jclouds.api:s3, org.apache.jclouds.api:sqs, org.apache.jclouds.api:sts, org.apache.jclouds.common:googlecloud, org.apache.jclouds.driver:jclouds-apachehc, org.apache.jclouds.driver:jclouds-bouncycastle, org.apache.jclouds.driver:jclouds-enterprise, org.apache.jclouds.driver:jclouds-joda, org.apache.jclouds.driver:jclouds-jsch, org.apache.jclouds.driver:jclouds-log4j, org.apache.jclouds.driver:jclouds-netty, org.apache.jclouds.driver:jclouds-okhttp, org.apache.jclouds.driver:jclouds-slf4j, org.apache.jclouds.driver:jclouds-sshj, org.apache.jclouds.provider:aws-cloudwatch, org.apache.jclouds.provider:aws-ec2, org.apache.jclouds.provider:aws-route53, org.apache.jclouds.provider:aws-s3, org.apache.jclouds.provider:aws-sqs, org.apache.jclouds.provider:aws-sts, org.apache.jclouds.provider:azureblob, org.apache.jclouds.provider:azurecompute-arm, org.apache.jclouds.provider:b2, org.apache.jclouds.provider:digitalocean2, org.apache.jclouds.provider:dynect, org.apache.jclouds.provider:elastichosts-lon-b, org.apache.jclouds.provider:elastichosts-lon-p, org.apache.jclouds.provider:elastichosts-sat-p, org.apache.jclouds.provider:go2cloud-jhb1, org.apache.jclouds.provider:gogrid, org.apache.jclouds.provider:google-cloud-storage, org.apache.jclouds.provider:google-compute-engine, org.apache.jclouds.provider:openhosting-east1, org.apache.jclouds.provider:packet, org.apache.jclouds.provider:profitbricks, org.apache.jclouds.provider:rackspace-cloudblockstorage-uk, org.apache.jclouds.provider:rackspace-cloudblockstorage-us, org.apache.jclouds.provider:rackspace-clouddatabases-uk, org.apache.jclouds.provider:rackspace-clouddatabases-us, org.apache.jclouds.provider:rackspace-clouddns-uk, org.apache.jclouds.provider:rackspace-clouddns-us, org.apache.jclouds.provider:rackspace-cloudfiles-uk, org.apache.jclouds.provider:rackspace-cloudfiles-us, org.apache.jclouds.provider:rackspace-cloudloadbalancers-uk, org.apache.jclouds.provider:rackspace-cloudloadbalancers-us, org.apache.jclouds.provider:rackspace-cloudservers-uk, org.apache.jclouds.provider:rackspace-cloudservers-us, org.apache.jclouds.provider:serverlove-z1-man, org.apache.jclouds.provider:skalicloud-sdg-my, org.apache.jclouds.provider:softlayer, org.apache.jclouds.provider:ultradns-ws, org.apache.jclouds:jclouds-allblobstore, org.apache.jclouds:jclouds-allcompute, org.apache.jclouds:jclouds-allloadbalancer, org.apache.jclouds:jclouds-blobstore, org.apache.jclouds:jclouds-compute, org.apache.jclouds:jclouds-core, org.apache.jclouds:jclouds-loadbalancer, org.apache.jclouds:jclouds-scriptbuilder, org.assertj:assertj-core, org.assertj:assertj-guava, org.bouncycastle:bcprov-ext-jdk15on, org.easymock:easymock, org.eclipse.jetty:jetty-security, org.eclipse.jetty:jetty-server, org.gaul:modernizer-maven-annotations, org.osgi:org.osgi.core, org.slf4j:slf4j-api, org.testng:testng, org.yaml:snakeyaml, xmlunit:xmlunit]",0.88
thomasmueller/minperf,uber/h3-java,"[junit:junit, org.openjdk.jmh:jmh-core, org.openjdk.jmh:jmh-generator-annprocess]",0.75
openjdk/jdk,openjdk/panama-foreign,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
AdoptOpenJDK/openjdk-jdk,openjdk/valhalla,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
SAP/SapMachine,openjdk/jdk,"[com.sun.hotspot.igv:BatikSVGProxy, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
julman99/gson-fire,taycaldwell/riot-api-java,"[com.google.code.gson:gson, junit:junit]",1.0
socketio/engine.io-client-java,upyun/java-sdk,"[com.squareup.okhttp3:okhttp, junit:junit, org.json:json]",0.75
jfree/jfreechart,jfree/jfreesvg,"[org.junit.jupiter:junit-jupiter-api, org.junit.jupiter:junit-jupiter-engine]",1.0
AdoptOpenJDK/jitwatch,whitesock/open-replicator,"[ch.qos.logback:logback-classic, ch.qos.logback:logback-core, junit:junit, org.slf4j:slf4j-api]",0.8
