repositoryName1,repositoryName2,intersection,similarity
cucumber-attic/gherkin2,eclipsesource/J2V8,"[junit, mock, mocking, testing]",1.0
apavlo/h-store,jkuhnert/ognl,"[junit, mocking, testing]",0.75
JodaOrg/joda-beans,greenrobot/essentials,"[google, junit, testing]",0.75
SAP/SapMachine,openjdk/loom,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",0.81
laforge49/JActor,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.83
JodaOrg/joda-money,JodaOrg/joda-time,"[junit, testing]",1.0
jhy/jsoup,kevinsawicki/http-request,"[eclipse, jetty, junit, server, servlet, testing, web, webserver]",0.73
anshooarora/extentreports-java,extent-framework/extentreports-java,"[apache, client, database, driver, engine, google, http, json, mime, mongodb, template, testing, testng]",0.72
pivovarit/throwing-function,restfb/restfb,"[api, assertion, engine, junit, logging, quality, slf4j, testing]",0.89
HyDevelop/PicqBotX,NoCheatPlus/NoCheatPlus,"[junit, testing]",1.0
gradle/oreilly-gradle-book-examples,guxingke/mini-jvm,"[junit, logging, testing]",0.75
sviperll/adt4j,yegor256/cactoos,"[analysis, annotations, defect, google, junit, metadata, testing]",0.78
NLPchina/nlp-lang,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.71
maxmind/geoip-api-java,romankh3/image-comparison,"[junit, mock, mocking, testing]",0.8
Asqatasun/Asqatasun,Tanaguru/Tanaguru,"[annotations, aop, apache, api, aspect, base64, beans, bridge, build, build-system, bytecode, cache, cli, client, codec, collections, command-line, commons, config, connector, css, csv, database, dependency-injection, driver, embedded, encoding, engine, expression, font, framework, hibernate, hsql, html, http, instrumentation, io, javax, jdbc, jpa, json, jsp, junit, language, logging, mail, mapping, maven, migration, mock, mocking, model, mvc, mysql, orm, parser, persistence, plugin, pool, pooling, provider, relational, remote, runner, security, selenium, server, servlet, slf4j, specs, spring, sql, standard, structures, styles, support, tabular, taglib, template, testing, tomcat, tools, transaction, upload, validation, web, webserver, webservice, xml, xpath]",0.79
indvd00m/java-ascii-render,romankh3/image-comparison,"[api, junit, mock, mocking, testing]",0.83
elBukkit/MagicPlugin,spotify/futures-extra,"[api, google, mock, mocking, testing]",0.71
HyDevelop/PicqBotX,ktuukkan/marine-api,"[junit, testing]",1.0
apavlo/h-store,tbsalling/aismessages,"[junit, mocking, testing]",0.75
kokorin/Jaffree,sleberknight/zookeeper-samples,"[apache, api, bridge, io, junit, logging, slf4j, testing]",0.73
lerry903/RuoYi,seagull1985/LuckyFrameWeb,"[apache, api, cache, engine, framework, github, html, io, parser, persistence, security, spring, starter, swagger, template, ui, upload]",0.71
bulldog2011/bigqueue,dlsc-software-consulting-gmbh/PreferencesFX,"[api, bridge, google, junit, logging, mock, mocking, slf4j, testing]",0.75
Tencent/RapidView,dlsc-software-consulting-gmbh/FormsFX,"[junit, testing]",1.0
JodaOrg/joda-time,perlundq/yajsync,"[junit, testing]",1.0
arteam/100-Java-Concurrency-questions,uber/h3-java,"[benchmark, generator, junit, performance, testing]",0.83
alibaba/cooma,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.71
amaembo/streamex,yahoo/Oak,"[benchmark, generator, junit, performance, testing]",0.71
TheHolyWaffle/TeamSpeak-3-Java-API,j256/simplemagic,"[api, junit, logging, slf4j, testing]",0.71
apache/commons-lang,spotify/completable-futures,"[analysis, benchmark, generator, google, junit, matching, mocking, performance, testing]",0.9
sleberknight/zookeeper-samples,sofastack/sofa-common-tools,"[apache, api, bridge, io, junit, logging, slf4j, testing]",0.73
JodaOrg/joda-time,taksan/skype-java-api,"[junit, testing]",1.0
MobilityData/gtfs-realtime-bindings,pokemongo-dev-contrib/pokemongo-game-master,"[google, junit, protocol, serialization, testing]",1.0
socketio/engine.io-client-java,upyun/java-sdk,"[client, http, json, junit, testing]",0.71
apache/commons-imaging,jboss-javassist/javassist,"[junit, matching, testing]",0.75
AdoptOpenJDK/jitwatch,jhg023/SimpleNet,"[api, junit, logging, slf4j, testing]",0.71
NLPchina/nlp-lang,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.71
SQLDroid/SQLDroid,square/protoparser,"[assertion, google, junit, quality, testing]",0.71
ObjectLayout/ObjectLayout,yahoo/Oak,"[benchmark, generator, junit, performance, testing]",0.71
julman99/gson-fire,vdurmont/emoji-java,"[json, junit, testing]",0.75
reactiverse/es4x,vert-x3/vertx-stack,"[amqp, apache, api, authentication, bridge, build, build-system, cache, camel, cassandra, client, config, connector, consul, database, directory, discovery, docker, driver, eventbus, factory, git, graphql, grpc, hazelcast, http, io, jdbc, jmx, json, junit, jwt, kafka, kubernetes, ldap, logging, mail, mapping, maven, messaging, metrics, mongodb, mqtt, mysql, network, oauth, prometheus, protocol, provider, proxy, queue, rabbitmq, reactive, redis, registry, rpc, schema, scm, security, server, service, shell, slf4j, spring, sql, streaming, tcp, template, testing, tracing, transport, validation, vertx, web, yaml, zookeeper]",0.72
irmen/Pyrolite,yago-naga/yago3,"[junit, testing]",1.0
gardncl/elements-of-programming-interviews,maxmind/geoip-api-java,"[junit, mock, mocking, testing]",0.8
opendatalab-de/geojson-jackson,spoofzu/DeepViolet,"[binding, json, junit, mock, mocking, testing]",0.75
poetix/protonpack,shekhargulati/99-problems,"[junit, matching, testing]",1.0
pac4j/spring-security-pac4j,thymeleaf/thymeleaf-extras-springsecurity,"[api, config, javax, security, servlet, specs, spring, standard, web]",0.75
huaban/jieba-analysis,oracle/pgql-lang,"[apache, commons, junit, testing]",1.0
boncey/Flickr4Java,fluent/fluent-logger-java,"[api, junit, logging, slf4j, testing]",0.71
boncey/Flickr4Java,jhg023/SimpleNet,"[api, github, junit, logging, slf4j, testing]",0.86
NLPchina/nlp-lang,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.71
JitseB/NPCLib,NEZNAMY/TAB,"[api, framework, io, netty, network, socket]",0.75
grundid/nfctools,sofastack/sofa-common-tools,"[api, bridge, junit, logging, slf4j, testing]",0.75
LinShunKang/MyPerf4J,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.83
AdoptOpenJDK/openjdk-jdk,SAP/SapMachine,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",1.0
ElectronicChartCentre/java-vector-tile,pokemongo-dev-contrib/pokemongo-game-master,"[google, junit, protocol, serialization, testing]",1.0
TheHolyWaffle/TeamSpeak-3-Java-API,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.83
awslabs/multi-model-server,romankh3/image-comparison,"[junit, mock, mocking, testing]",0.8
AdoptOpenJDK/jitwatch,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.83
ThreeTen/threeten-extra,jfree/jfreechart,"[api, engine, junit, testing]",0.8
MGunlogson/CuckooFilter4J,abel533/ECharts,"[google, junit, testing]",0.75
roundrop/facebook4j,zeroturnaround/zt-zip,"[api, bridge, junit, logging, slf4j, testing]",1.0
graalvm/simplelanguage,mr-hashemi/mr-hashemi,"[api, compiler, dsl, junit, parser, processor, runtime, sdk, testing]",0.82
elunez/eladmin,guchengwuyue/yshopmall,"[annotations, apache, api, commons, config, dependency-injection, excel, github, io, javax, json, mail, model, network, parser, pooling, processor, sdk, specs, spreadsheet, spring, ssh, standard, starter, swagger, ui, xml]",0.71
alibaba/cooma,bulldog2011/bigqueue,"[api, bridge, junit, logging, mocking, slf4j, testing]",0.78
andytill/erlyberly,giltene/jHiccup,"[junit, testing]",1.0
ElectronicChartCentre/java-vector-tile,MobilityData/gtfs-realtime-bindings,"[google, junit, protocol, serialization, testing]",1.0
romankh3/image-comparison,spotify/futures-extra,"[api, junit, mock, mocking, testing]",0.83
HdrHistogram/HdrHistogram,optimatika/ojAlgo,"[api, benchmark, engine, generator, junit, performance, testing]",1.0
Esri/geometry-api-java,jsonzou/jmockdata,"[json, junit, testing]",1.0
giltene/jHiccup,ktuukkan/marine-api,"[junit, testing]",1.0
jfree/jfreechart,jfree/jfreesvg,"[api, engine, junit, testing]",1.0
bulldog2011/bigqueue,tomighty/tomighty,"[api, google, junit, logging, mock, mocking, slf4j, testing]",0.73
jfree/jfreechart-fse,tbroyer/gwt-maven-archetypes,"[api, javax, servlet, specs, standard]",0.71
grundid/nfctools,kokorin/Jaffree,"[api, bridge, junit, logging, slf4j, testing]",0.75
cucumber-attic/gherkin2,stateless4j/stateless4j,"[junit, mock, mocking, testing]",1.0
boncey/Flickr4Java,hoijui/JavaOSC,"[api, junit, logging, slf4j, testing]",0.71
Tencent/RapidView,mpatric/mp3agic,"[junit, testing]",1.0
amaembo/streamex,optimatika/ojAlgo,"[benchmark, generator, junit, performance, testing]",0.71
stateless4j/stateless4j,tbsalling/aismessages,"[junit, mock, mocking, testing]",1.0
apache/commons-imaging,vanilladb/vanillacore,"[io, junit, testing]",0.75
Tencent/RapidView,ktuukkan/marine-api,"[junit, testing]",1.0
dlsc-software-consulting-gmbh/FormsFX,irmen/Pyrolite,"[junit, testing]",1.0
ktuukkan/marine-api,yago-naga/yago3,"[junit, testing]",1.0
streamsupport/streamsupport,ymartineau/peers,"[junit, testing, testng]",1.0
paritytrading/parity,paritytrading/philadelphia,"[apache, benchmark, command-line, commons, config, date, generator, junit, performance, reader, testing, time, typesafe]",0.87
mpatric/mp3agic,yago-naga/yago3,"[junit, testing]",1.0
JodaOrg/joda-time,Tencent/RapidView,"[junit, testing]",1.0
jkuhnert/ognl,zeromq/jzmq,"[junit, mocking, testing]",0.75
ObjectLayout/ObjectLayout,robinst/autolink-java,"[benchmark, junit, performance, testing]",0.8
AdoptOpenJDK/jitwatch,hoijui/JavaOSC,"[api, junit, logging, slf4j, testing]",0.83
ktuukkan/marine-api,taksan/skype-java-api,"[junit, testing]",1.0
whitesock/open-replicator,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.83
McFoggy/cssfx,unitsofmeasurement/unit-api,"[engine, junit, testing]",0.75
HyDevelop/PicqBotX,dlsc-software-consulting-gmbh/FormsFX,"[junit, testing]",1.0
TNG/JGiven,warmuuh/libsass-maven-plugin,"[apache, api, build, build-system, junit, maven, model, plugin, testing, tools]",0.71
TheHolyWaffle/TeamSpeak-3-Java-API,kaitoy/pcap4j,"[api, junit, logging, slf4j, testing]",0.71
AdoptOpenJDK/jitwatch,TooTallNate/Java-WebSocket,"[api, junit, logging, slf4j, testing]",0.83
bergerhealer/TrainCarts,gturri/aXMLRPC,"[github, junit, testing]",0.75
FastFilter/fastfilter_java,yellowstonegames/SquidLib,"[benchmark, generator, github, junit, performance, testing]",0.75
ahorn/android-rss,mcxiaoke/android-volley,"[android, google, junit, platform, testing]",0.71
irmen/Pyrolite,luaj/luaj,"[junit, testing]",1.0
arteam/100-Java-Concurrency-questions,yellowstonegames/SquidLib,"[benchmark, generator, junit, performance, testing]",0.71
maxmind/geoip-api-java,tbsalling/aismessages,"[junit, mock, mocking, testing]",1.0
beckchr/juel,unitsofmeasurement/unit-api,"[api, junit, testing]",0.75
beckchr/juel,bergerhealer/TrainCarts,"[api, junit, testing]",0.75
petitparser/java-petitparser,poetix/protonpack,"[junit, matching, testing]",0.75
apavlo/h-store,eclipsesource/J2V8,"[junit, mocking, testing]",0.75
fabian7593/MagicalCamera,geometer/FBReader-Android-2,"[android, google, platform, support]",0.8
PanicInitiative/PanicButton,mcxiaoke/android-volley,"[android, google, junit, mock, mocking, platform, testing]",0.88
JodaOrg/joda-beans,abel533/ECharts,"[google, junit, testing]",0.75
cybergarage/cybergarage-upnp,mvel/mvel,"[junit, testing, xml]",0.75
NoCheatPlus/NoCheatPlus,luaj/luaj,"[junit, testing]",1.0
TheHolyWaffle/TeamSpeak-3-Java-API,hoijui/JavaOSC,"[api, junit, logging, slf4j, testing]",0.83
ObjectLayout/ObjectLayout,amaembo/streamex,"[benchmark, generator, junit, performance, testing]",1.0
MGunlogson/CuckooFilter4J,taycaldwell/riot-api-java,"[google, junit, testing]",0.75
HdrHistogram/HdrHistogram,mikera/vectorz,"[api, benchmark, engine, junit, performance, testing]",0.75
WorksApplications/Sudachi,mwanji/toml4j,"[json, junit, library, matching, testing]",0.71
NoCheatPlus/NoCheatPlus,giltene/jHiccup,"[junit, testing]",1.0
luaj/luaj,zeromq/jeromq,"[junit, testing]",1.0
eclipsesource/J2V8,vdurmont/semver4j,"[junit, mock, mocking, testing]",1.0
abel533/ECharts,taycaldwell/riot-api-java,"[google, json, junit, testing]",1.0
eBay/cors-filter,knowm/Sundial,"[api, javax, junit, servlet, specs, standard, testing]",0.78
apavlo/h-store,vdurmont/semver4j,"[junit, mocking, testing]",0.75
JodaOrg/joda-beans,microsoft/vscode-java-debug,"[google, junit, testing]",0.75
hoijui/JavaOSC,sbtourist/Journal.IO,"[api, bridge, junit, logging, slf4j, testing]",0.75
apache/commons-imaging,shekhargulati/99-problems,"[junit, matching, testing]",0.75
AdoptOpenJDK/jitwatch,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.83
jnr/jnr-posix,jnr/jnr-unixsocket,"[github, junit, native, testing]",0.8
eclipsesource/J2V8,stateless4j/stateless4j,"[junit, mock, mocking, testing]",1.0
dlsc-software-consulting-gmbh/FormsFX,ktuukkan/marine-api,"[junit, testing]",1.0
AdoptOpenJDK/jitwatch,grundid/nfctools,"[api, junit, logging, slf4j, testing]",0.83
krasa/MavenHelper,slyak/spring-data-jpa-extra,"[apache, beans, commons, reflection]",0.8
tcurdt/jdeb,trivago/cucable-plugin,"[annotations, apache, api, build, build-system, commons, io, junit, maven, mock, mocking, model, plugin, testing, tools]",0.75
grundid/nfctools,zeroturnaround/zt-zip,"[api, bridge, junit, logging, slf4j, testing]",1.0
perlundq/yajsync,yago-naga/yago3,"[junit, testing]",1.0
abstractj/kalium,javadev/underscore-java,"[github, junit, testing]",0.75
mr-hashemi/mr-hashemi,oracle/graal,"[api, compiler, dsl, junit, parser, processor, runtime, sdk, testing]",0.82
gluonhq/gluonfx-maven-plugin,openjfx/javafx-maven-plugin,"[annotations, apache, api, build, build-system, codehaus, command, commons, connector, eclipse, execution, external, http, maven, model, plugin, process, provider, tools, transport]",0.8
HdrHistogram/HdrHistogram,arteam/100-Java-Concurrency-questions,"[benchmark, generator, junit, performance, testing]",0.71
AdoptOpenJDK/jitwatch,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",1.0
kokorin/Jaffree,vasia/gelly-streaming,"[apache, bridge, junit, logging, slf4j, testing]",0.75
abstractj/kalium,gturri/aXMLRPC,"[github, junit, testing]",0.75
NLPchina/nlp-lang,zeroturnaround/zt-exec,"[apache, api, junit, logging, slf4j, testing]",0.75
HdrHistogram/HdrHistogram,ObjectLayout/ObjectLayout,"[benchmark, generator, junit, performance, testing]",0.71
garbagemule/MobArena,gardncl/elements-of-programming-interviews,"[junit, matching, mock, mocking, testing]",0.83
awslabs/multi-model-server,cucumber-attic/gherkin2,"[junit, mock, mocking, testing]",1.0
AdoptOpenJDK/jitwatch,guxingke/mini-jvm,"[junit, logging, slf4j, testing]",0.8
Tencent/RapidView,irmen/Pyrolite,"[junit, testing]",1.0
OpenHFT/Zero-Allocation-Hashing,sviperll/adt4j,"[analysis, annotations, defect, google, junit, metadata, testing]",0.78
kiegroup/droolsjbpm-knowledge,zeroturnaround/zt-zip,"[bridge, junit, logging, slf4j, testing]",0.83
alibaba/cooma,grundid/nfctools,"[api, bridge, junit, logging, slf4j, testing]",0.86
TheHolyWaffle/TeamSpeak-3-Java-API,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.83
Polve/bitcoin-rpc-client,ozlerhakan/poiji,"[apache, junit, testing]",0.75
sofastack/sofa-common-tools,zeroturnaround/zt-exec,"[apache, api, io, junit, logging, slf4j, testing]",0.78
Thomas-S-B/visualee,lukaszlenart/launch4j-maven-plugin,"[apache, api, build, build-system, junit, maven, model, plugin, testing, tools]",0.77
apache/commons-codec,oracle/pgql-lang,"[apache, commons, junit, testing]",1.0
ktuukkan/marine-api,perlundq/yajsync,"[junit, testing]",1.0
kennyk65/Microservices-With-Spring-Student-Files,martinpaljak/ant-javacard,"[ant, apache, build, tools]",0.8
MGunlogson/CuckooFilter4J,microsoft/vscode-java-debug,"[google, junit, testing]",0.75
ctongfei/progressbar,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.71
NoCheatPlus/NoCheatPlus,zeromq/jeromq,"[junit, testing]",1.0
awspring/spring-cloud-aws,spring-cloud/spring-cloud-aws,"[amazon, apache, api, aws, cache, client, cloud, cluster, computing, config, javax, jdbc, mail, manager, messaging, sdk, server, specs, spring, sql, standard, starter, tomcat, webserver]",0.96
cheese10yun/spring-guide,karcan/javaBootcamp,"[api, io, swagger, ui]",1.0
fasseg/exp4j,guxingke/mini-jvm,"[junit, logging, testing]",0.75
kiegroup/droolsjbpm-knowledge,vasia/gelly-streaming,"[bridge, junit, logging, slf4j, testing]",0.83
inmite/android-validation-komensky,kevinsawicki/wishlist,"[android, google, junit, platform, support, testing]",0.75
cucumber-attic/gherkin2,stleary/JSON-java,"[junit, mock, mocking, testing]",0.8
Password4j/password4j,conversant/disruptor,"[api, junit, logging, slf4j, testing]",0.71
apache/commons-dbutils,stateless4j/stateless4j,"[junit, mock, mocking, testing]",0.8
liuweijw/fw-cloud-framework,loda-kun/spring-boot-learning,"[apache, api, cloud, commons, connector, database, driver, hibernate, io, json, jwt, mapping, mysql, persistence, relational, security, server, spring, starter, swagger, ui, validation]",0.71
JetBrains/intellij-plugins,cucumber/cucumber-java-skeleton,"[io, junit, testing]",1.0
JetBrains/intellij-plugins,MarkShen1992/Mashibing_High_Concurrency,"[io, junit, testing]",0.75
openjdk/loom,openjdk/panama-foreign,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",0.81
taycaldwell/riot-api-java,vdurmont/emoji-java,"[json, junit, testing]",0.75
mscharhag/oleaster,poetix/protonpack,"[junit, matching, testing]",0.75
pgjdbc/r2dbc-postgresql,r2dbc/r2dbc-mssql,"[analysis, assertion, google, interface, io, jdbc, junit, logging, mock, mocking, platform, pool, quality, spring, sql, testing, tools]",0.77
jfree/jfreesvg,unitsofmeasurement/unit-api,"[api, engine, junit, testing]",1.0
TooTallNate/Java-WebSocket,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.71
grundid/nfctools,roundrop/facebook4j,"[api, bridge, junit, logging, slf4j, testing]",1.0
liuyangming/ByteJTA,liuyangming/ByteTCC,"[annotations, aop, apache, api, aspect, binding, buffer, bytecode, client, cloud, codec, commons, communication, config, coordination, data, database, dependency-injection, distributed, driver, exception, framework, http, io, javax, jdbc, jms, json, logging, mongodb, mvc, native, netty, network, nosql, queue, reactive, remoting, resource, server, servlet, slf4j, socket, specs, spring, sql, standard, starter, streaming, transaction, transport, web, zookeeper]",0.84
conversant/disruptor,guxingke/mini-jvm,"[junit, logging, slf4j, testing]",0.8
conversant/disruptor,timrdf/csv2rdf4lod-automation,"[api, junit, logging, slf4j, testing]",0.71
conversant/disruptor,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.83
cucumber-attic/gherkin2,tbsalling/aismessages,"[junit, mock, mocking, testing]",1.0
ObjectLayout/ObjectLayout,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",1.0
conversant/disruptor,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.83
steveohara/j2mod,zeroturnaround/zt-process-killer,"[apache, api, command, commons, execution, external, junit, logging, process, slf4j, testing]",0.79
AdoptOpenJDK/jitwatch,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",1.0
OWASP/json-sanitizer,aionnetwork/aion,"[google, junit, testing]",0.75
stefan-zobel/streamsupport,streamsupport/streamsupport,"[junit, testing, testng]",1.0
joshjdevl/libsodium-jni,julman99/gson-fire,"[google, junit, testing]",0.75
stateless4j/stateless4j,stleary/JSON-java,"[junit, mock, mocking, testing]",0.8
arteam/100-Java-Concurrency-questions,optimatika/ojAlgo,"[benchmark, generator, junit, performance, testing]",0.71
JodaOrg/joda-money,irmen/Pyrolite,"[junit, testing]",1.0
AdoptOpenJDK/openjdk-jdk,openjdk/valhalla,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",1.0
arteam/100-Java-Concurrency-questions,arturmkrtchyan/iban4j,"[benchmark, junit, performance, testing]",0.8
mpatric/mp3agic,zeromq/jeromq,"[junit, testing]",1.0
MGunlogson/CuckooFilter4J,OWASP/json-sanitizer,"[google, junit, testing]",0.75
NoCheatPlus/NoCheatPlus,irmen/Pyrolite,"[junit, testing]",1.0
alibaba/cooma,roundrop/facebook4j,"[api, bridge, junit, logging, slf4j, testing]",0.86
stefan-zobel/streamsupport,ymartineau/peers,"[junit, testing, testng]",1.0
cucumber-attic/gherkin2,gardncl/elements-of-programming-interviews,"[junit, mock, mocking, testing]",0.8
ipfs-shipyard/java-ipfs-http-client,jboss-javassist/javassist,"[junit, matching, testing]",0.75
AdoptOpenJDK/jitwatch,plutext/docx4j-ImportXHTML,"[api, junit, logging, slf4j, testing]",0.71
jhg023/SimpleNet,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
apache/commons-dbutils,gardncl/elements-of-programming-interviews,"[junit, matching, mock, mocking, testing]",1.0
Polve/bitcoin-rpc-client,ls1intum/Artemis,"[apache, commons, testing]",0.75
SAP/SapMachine,openjdk/valhalla,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",1.0
ObjectLayout/ObjectLayout,uber/h3-java,"[benchmark, generator, junit, performance, testing]",0.83
boncey/Flickr4Java,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
patrickfav/uber-adb-tools,patrickfav/uber-apk-signer,"[ant, apache, build, cli, command-line, parser, tools]",0.88
ctongfei/progressbar,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
bergerhealer/TrainCarts,javadev/underscore-java,"[github, junit, testing]",0.75
LinShunKang/MyPerf4J,uber/h3-java,"[benchmark, generator, junit, performance, testing]",0.71
SQLDroid/SQLDroid,square/burst,"[assertion, google, junit, quality, testing]",0.71
Esri/geometry-api-java,microsoft/vscode-java-debug,"[json, junit, testing]",0.75
openjdk/jdk,openjdk/panama-foreign,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",1.0
andytill/erlyberly,perlundq/yajsync,"[junit, testing]",1.0
elennick/retry4j,nurkiewicz/async-retry,"[api, assertion, logging, mock, mocking, quality, slf4j, testing, testng]",1.0
JakeWharton/DiskLruCache,SonarSource/sonar-scanner-gradle,"[assertion, io, junit, quality, testing]",0.71
LinShunKang/MyPerf4J,amaembo/streamex,"[benchmark, generator, junit, performance, testing]",0.83
abel533/ECharts,julman99/gson-fire,"[google, json, junit, testing]",1.0
ObjectLayout/ObjectLayout,optimatika/ojAlgo,"[benchmark, generator, junit, performance, testing]",0.71
AdoptOpenJDK/jitwatch,NLPchina/nlp-lang,"[api, junit, logging, slf4j, testing]",0.83
tbsalling/aismessages,vdurmont/semver4j,"[junit, mock, mocking, testing]",1.0
giltene/jHiccup,perlundq/yajsync,"[junit, testing]",1.0
Bukkit/Bukkit,SpigotMC/Spigot-API,"[google, json, junit, library, matching, testing, yaml]",1.0
LinShunKang/MyPerf4J,arteam/100-Java-Concurrency-questions,"[benchmark, generator, junit, performance, testing]",0.83
boncey/Flickr4Java,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
coveooss/fmt-maven-plugin,jeluard/semantic-versioning,"[apache, api, build, build-system, google, junit, maven, model, plugin, testing, tools]",0.73
JodaOrg/joda-time,yago-naga/yago3,"[junit, testing]",1.0
perlundq/yajsync,taksan/skype-java-api,"[junit, testing]",1.0
jOOQ/jOOX,julietkilo/CANBabel,"[api, binding, javax, junit, specs, standard, testing, xml]",0.8
NLPchina/nlp-lang,fluent/fluent-logger-java,"[api, junit, logging, slf4j, testing]",0.71
yago-naga/yago3,zeromq/jeromq,"[junit, testing]",1.0
alibaba/cooma,j256/simplemagic,"[api, junit, logging, mocking, slf4j, testing]",0.75
FastFilter/fastfilter_java,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.71
jboss-javassist/javassist,poetix/protonpack,"[junit, matching, testing]",1.0
HyDevelop/PicqBotX,luaj/luaj,"[junit, testing]",1.0
SpigotMC/Spigot-API,mwanji/toml4j,"[google, json, junit, library, matching, testing]",0.86
sealedtx/java-youtube-downloader,verhas/License3j,"[engine, junit, mock, mocking, testing]",0.71
andrew-hoffman/halfnes,zhuowei/RaspberryJuice,"[mocking, testing, testng]",0.75
playn/playn,threerings/playn,"[android, eclipse, engine, framework, google, gwt, html, interface, junit, library, logging, math, messaging, physics, platform, swt, testing, ui, web, webgl, websocket, x86]",0.73
JitseB/NPCLib,ViaVersion/ViaRewind,"[api, framework, io, netty, network, socket]",0.75
eBay/cors-filter,javaee/jax-rs-api,"[api, javax, junit, specs, standard, testing]",0.75
awslabs/multi-model-server,vdurmont/semver4j,"[junit, mock, mocking, testing]",1.0
